[2025-10-19 00:00:23] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:00:23] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:23:26] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:23:27] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=127.0.0.1
[2025-10-19 00:32:16] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:36:49] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:37:19] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:37:39] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:39:17] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:39:39] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:40:11] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:40:51] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:42:50] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:46:29] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=38.12.18.135
[2025-10-19 00:46:38] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 00:46:41] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=38.12.18.135
[2025-10-19 00:52:52] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=arm64, VERSION=1.0.1
[2025-10-19 00:53:19] [INFO] 安装统计: IP=127.0.0.1, OS=darwin, ARCH=amd64, VERSION=1.0.1
[2025-10-19 01:01:12] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 01:01:47] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=38.12.18.135
[2025-10-19 01:01:53] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=38.12.18.135
[2025-10-19 01:02:05] [INFO] 安装统计: IP=38.12.18.135, OS=linux, ARCH=amd64, VERSION=1.0.0
[2025-10-19 01:08:06] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=127.0.0.1
[2025-10-19 01:34:10] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 12:46:25] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=admin, IP=127.0.0.1
[2025-10-19 12:46:26] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=127.0.0.1
[2025-10-19 12:48:36] [INFO] 版本查询: OS=linux, ARCH=amd64, Component=api, IP=127.0.0.1
[2025-10-19 13:55:31] [INFO] 安装统计: IP=127.0.0.1, OS=linux, ARCH=amd64, VERSION=1.0.0
[2025-10-19 14:39:48] [INFO] 安装统计: IP=38.12.18.135, OS=linux, ARCH=amd64, VERSION=1.0.0
