[2025-11-09 00:10:38] [INFO] 删除版本: ID=25, admin v1.0.13
[2025-11-09 00:10:49] [INFO] 删除版本: ID=22, admin v1.0.11
[2025-11-09 00:10:59] [INFO] 删除版本: ID=20, admin v1.0.10
[2025-11-09 00:11:03] [INFO] 删除版本: ID=19, admin v1.0.9
[2025-11-09 00:11:07] [INFO] 删除版本: ID=18, admin v1.0.8
[2025-11-09 00:11:12] [INFO] 删除版本: ID=9, api v1.0.3
[2025-11-09 00:11:14] [INFO] 删除版本: ID=15, api v1.0.1
[2025-11-09 00:11:17] [INFO] 删除版本: ID=14, api v1.0.0
[2025-11-09 00:34:48] [INFO] 删除版本: ID=30, admin v1.0.13
[2025-11-09 00:34:56] [INFO] 删除版本: ID=28, admin v1.0.11
[2025-11-09 00:35:07] [INFO] 删除版本: ID=27, admin v1.0.10
[2025-11-09 00:35:10] [INFO] 删除版本: ID=29, admin v1.0.9
[2025-11-09 00:35:16] [INFO] 删除版本: ID=26, admin v1.0.8
[2025-11-09 00:35:19] [INFO] 删除版本: ID=32, api v1.0.0
[2025-11-09 00:35:23] [INFO] 删除版本: ID=31, api v1.0.3
[2025-11-09 00:35:26] [INFO] 删除版本: ID=33, api v1.0.1
[2025-11-09 00:47:51] [INFO] 添加许可证: 422L-75V0-3MU8-NXPB-LNLG-B90E - 客户: z
[2025-11-09 00:50:32] [INFO] 重置许可证绑定ID: 11
[2025-11-09 01:43:02] [INFO] 更新许可证ID: 11
[2025-11-09 02:00:40] [WARNING] 删除许可证ID: 12
[2025-11-09 02:01:06] [WARNING] 删除许可证ID: 11
[2025-11-09 02:01:34] [INFO] 添加许可证: 0V09-8SGC-MKTW-39K7-WGS4-0IMU - 客户: 测试
[2025-11-09 02:14:17] [WARNING] 删除许可证ID: 13
[2025-11-09 02:14:31] [INFO] 添加许可证: IEYS-RS3C-TJYT-A9GN-6MS1-7JZF - 客户: 1
[2025-11-09 02:26:33] [INFO] 添加许可证: J8S2-G7QO-2492-HFLA-ASQ8-UYQ5 - 客户: 1
[2025-11-09 02:31:01] [WARNING] 删除许可证ID: 15
[2025-11-09 11:26:31] [ERROR] 许可证管理异常: SQLSTATE[HY093]: Invalid parameter number
[2025-11-09 11:33:02] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:38:29] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:38:48] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:38:50] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:39:20] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:39:23] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:40:20] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:40:40] [INFO] 更新版本: ID=43, admin v1.0.17
[2025-11-09 11:41:20] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:42:20] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:43:20] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:44:21] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:45:35] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:46:48] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:47:03] [INFO] 更新版本: ID=43, admin v1.0.17
[2025-11-09 11:47:21] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:48:35] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:49:24] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:50:23] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:50:42] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:50:48] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:51:43] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:52:43] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:53:43] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-09 11:54:43] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
